criterion,lifecycle_step,name,category,avg_electricity_consumption,description,location,level,source,tier,unit,value
WATER_USE,END_OF_LIFE,solid-state-drive-ssd-12,,"","Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,23.1
WATER_USE,MANUFACTURING,solid-state-drive-ssd-12,,"","Solid State Drive (SSD)/ 2,5"", QLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,61.6
WATER_USE,TRANSPORTATION,solid-state-drive-ssd-2,,"","Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005447424352
WATER_USE,MANUFACTURING,solid-state-drive-ssd-2,,"","Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,119
WATER_USE,END_OF_LIFE,solid-state-drive-ssd-2,,"","Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,26.5
WATER_USE,TRANSPORTATION,solid-state-drive-ssd-3,,"","Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.0000587365412
WATER_USE,MANUFACTURING,solid-state-drive-ssd-3,,"","Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,237
WATER_USE,END_OF_LIFE,solid-state-drive-ssd-3,,"","Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,30.4
WATER_USE,TRANSPORTATION,solid-state-drive-ssd-4,,"","Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005073173824
WATER_USE,MANUFACTURING,solid-state-drive-ssd-4,,"","Solid State Drive (SSD)/ 2,5"", MLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,15.9
